lotnum,ytotal,y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Lot1,22,0,10,1,7,1,3,A,A2,A3,B4,C5,C6,B7,B8,A9,A10
Lot2,27,13,11,0,0,0,3,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot3,31,0,15,5,6,0,5,A,B2,A3,B4,C5,C6,B7,B8,A9,A10
Lot4,38,7,15,6,0,7,3,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot5,30,8,7,8,0,6,1,B,B2,A3,B4,C5,B6,A7,B8,B9,A10
Lot6,54,7,22,2,0,15,8,A,A2,A3,B4,C5,B6,A7,B8,A9,A10
Lot7,31,2,9,8,0,9,3,A,B2,A3,B4,C5,B6,A7,B8,B9,A10
Lot8,32,4,11,5,0,8,4,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot9,28,7,10,6,0,4,1,B,B2,A3,B4,C5,B6,A7,B8,B9,A10
Lot10,23,0,4,1,10,1,7,A,A2,A3,B4,C5,C6,B7,B8,A9,A10
Lot11,55,4,23,8,0,19,1,B,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot12,22,18,4,0,0,0,0,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot13,46,9,16,2,0,18,1,A,A2,A3,B4,C5,C6,A7,B8,A9,A10
Lot14,36,10,10,6,0,8,2,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot15,59,21,19,4,0,13,2,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot16,47,8,15,1,0,16,7,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot17,57,9,19,7,1,15,6,A,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot18,33,13,19,0,0,0,1,A,B2,A3,B4,C5,B6,B7,B8,A9,A10
Lot19,27,0,15,6,1,4,1,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot20,44,11,18,2,0,9,4,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot21,36,5,19,3,0,8,1,A,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot22,23,12,8,0,0,0,3,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot23,36,8,13,5,0,6,4,B,B2,A3,B4,C5,B6,B7,B8,B9,A10
Lot24,25,0,9,1,8,5,2,A,A2,A3,B4,C5,C6,B7,B8,B9,A10
Lot25,55,0,25,5,11,6,8,A,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot26,44,11,16,5,0,11,1,B,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot27,17,0,6,2,6,0,3,B,B2,A3,B4,C5,C6,B7,B8,A9,A10
Lot28,31,5,13,0,0,13,0,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot29,33,4,10,9,0,6,4,B,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot30,61,20,12,4,0,23,2,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot31,30,11,17,0,0,0,2,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot32,16,7,7,0,0,0,2,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot33,24,12,10,0,0,0,2,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot34,21,8,7,0,0,1,5,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot35,18,9,7,0,0,0,2,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot36,38,8,13,10,0,5,2,A,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot37,34,1,10,1,17,5,0,A,A2,B3,B4,C5,C6,B7,B8,A9,B10
Lot38,48,7,22,9,0,6,4,B,A2,A3,B4,C5,B6,B7,B8,B9,B10
Lot39,34,13,17,0,0,0,4,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot40,43,7,18,4,0,6,8,B,B2,A3,B4,C5,C6,B7,B8,B9,B10
Lot41,34,0,9,9,11,3,2,C,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot42,17,15,1,0,0,1,0,B,B2,A3,B4,C5,B6,B7,B8,A9,A10
Lot43,41,4,17,7,0,7,6,B,B2,A3,B4,C5,C6,B7,B8,B9,B10
Lot44,23,8,5,3,0,4,3,B,A2,A3,B4,C5,C6,B7,A8,A9,B10
Lot45,54,0,24,8,12,5,5,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot46,39,6,13,5,0,8,7,B,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot47,61,12,25,4,0,14,6,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot48,18,4,8,0,2,3,1,B,B2,A3,B4,C5,B6,C7,B8,A9,B10
Lot49,32,22,4,0,0,0,6,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot50,42,6,18,3,0,8,7,B,A2,A3,B4,C5,C6,B7,B8,A9,B10
Lot51,65,17,16,13,0,16,3,B,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot52,37,6,10,9,0,8,4,A,A2,A3,B4,C5,C6,B7,B8,B9,B10
Lot53,29,4,14,6,0,2,3,B,A2,A3,B4,C5,C6,B7,B8,A9,B10
Lot54,31,11,1,11,0,1,7,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot55,27,0,10,1,5,3,8,A,A2,A3,B4,C5,C6,B7,B8,A9,A10
Lot56,46,0,14,12,10,5,5,A,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot57,21,0,4,1,9,4,3,A,B2,A3,B4,C5,C6,B7,B8,B9,A10
Lot58,22,0,6,3,7,1,5,A,B2,A3,B4,C5,C6,B7,B8,A9,A10
Lot59,33,0,9,2,13,8,1,A,A2,A3,B4,C5,C6,B7,B8,B9,A10
Lot60,28,0,14,2,7,2,3,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot61,29,0,11,0,13,1,4,A,B2,A3,B4,C5,C6,B7,B8,B9,B10
Lot62,24,0,5,2,8,5,4,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot63,31,5,6,6,1,4,9,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot64,27,0,15,3,5,1,3,A,A2,A3,B4,C5,B6,A7,B8,A9,A10
Lot65,44,9,14,9,0,8,4,B,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot66,51,0,14,7,17,4,9,A,B2,A3,B4,C5,C6,A7,B8,B9,B10
Lot67,34,7,9,7,0,2,9,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot68,40,6,12,10,0,4,8,B,A2,A3,B4,C5,B6,B7,B8,B9,B10
Lot69,43,8,6,1,0,24,4,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot70,27,0,17,2,8,0,0,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot71,32,0,16,5,6,2,3,A,A2,A3,B4,C5,B6,A7,B8,A9,A10
Lot72,56,0,23,13,6,9,5,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot73,35,9,11,7,0,4,4,B,B2,A3,B4,C5,C6,B7,B8,B9,B10
Lot74,27,0,10,1,10,3,3,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot75,20,0,8,3,7,0,2,A,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot76,42,13,17,3,0,8,1,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot77,34,9,5,0,0,18,2,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot78,24,0,9,2,6,1,6,B,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot79,29,4,9,1,0,10,5,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot80,46,12,7,16,0,1,10,B,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot81,23,0,9,0,9,1,4,B,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot82,58,0,12,8,21,8,9,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot83,40,5,20,1,2,8,4,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot84,29,1,5,0,0,19,4,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot85,14,0,6,1,5,1,1,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot86,25,6,15,0,0,2,2,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot87,30,5,10,1,0,11,3,A,A2,B3,B4,C5,C6,A7,B8,A9,B10
Lot88,31,0,16,3,8,2,2,C,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot89,23,5,7,4,0,5,2,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot90,29,0,15,3,8,0,3,B,A2,A3,B4,C5,C6,A7,B8,B9,B10
Lot91,20,0,4,0,10,1,5,B,B2,A3,B4,C5,B6,C7,B8,A9,B10
Lot92,28,9,4,5,0,2,8,B,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot93,57,8,10,1,0,37,1,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot94,27,8,9,0,0,8,2,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot95,54,0,18,13,8,12,3,C,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot96,28,7,11,0,0,7,3,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot97,76,5,9,5,36,12,9,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot98,29,3,14,0,0,8,4,A,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot99,32,7,4,1,0,17,3,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot100,54,19,7,1,1,26,0,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot101,40,9,16,0,0,10,5,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot102,37,9,5,0,0,17,6,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot103,27,5,10,0,1,7,4,A,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot104,104,1,21,4,27,41,10,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot105,51,11,7,1,0,26,6,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot106,46,14,4,2,0,25,1,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot107,45,16,5,9,0,14,1,B,B2,B3,B4,C5,B6,A7,B8,A9,B10
Lot108,47,12,13,3,0,13,6,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot109,48,4,4,6,0,27,7,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot110,26,0,10,0,12,2,2,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot111,21,2,10,1,0,4,4,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot112,35,11,2,1,0,20,1,B,B2,B3,B4,C5,B6,B7,B8,A9,B10
Lot113,17,6,5,0,0,2,4,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot114,34,0,7,1,17,4,5,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot115,10,1,2,1,0,4,2,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot116,29,7,9,0,0,6,7,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot117,33,11,4,0,0,17,1,A,B2,B3,B4,C5,B6,B7,B8,A9,A10
Lot118,51,0,10,7,29,4,1,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot119,13,0,8,0,0,1,4,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot120,41,12,4,2,0,9,14,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot121,14,3,3,1,0,1,6,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot122,35,6,13,1,0,10,5,A,A2,B3,B4,C5,C6,A7,B8,A9,B10
Lot123,43,24,3,1,0,15,0,A,A2,B3,B4,A5,A6,C7,B8,B9,B10
Lot124,45,9,6,4,0,23,3,A,A2,B3,B4,C5,B6,B7,B8,B9,A10
Lot125,36,14,4,2,0,16,0,A,A2,C3,B4,A5,A6,C7,B8,B9,B10
Lot126,24,2,10,3,1,3,5,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot127,20,1,9,3,3,1,3,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot128,25,11,7,1,0,5,1,A,A2,B3,B4,A5,A6,C7,A8,B9,B10
Lot129,19,3,9,5,0,2,0,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot130,29,2,10,3,5,7,2,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot131,82,16,25,4,0,29,8,B,B2,B3,B4,C5,B6,A7,B8,A9,A10
Lot132,62,9,24,4,0,21,4,A,A2,B3,B4,C5,B6,B7,B8,B9,A10
Lot133,37,14,12,0,0,11,0,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot134,64,13,12,6,0,31,2,A,A2,B3,B4,C5,B6,A7,B8,A9,A10
Lot135,54,5,5,4,0,35,5,B,A2,B3,B4,C5,B6,A7,B8,A9,A10
Lot136,89,10,27,3,0,44,5,B,B2,B3,B4,C5,B6,A7,B8,A9,A10
Lot137,94,8,25,4,0,54,3,A,A2,B3,B4,C5,B6,A7,B8,A9,A10
Lot138,75,5,15,3,0,50,2,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot139,26,0,13,3,4,1,5,A,A2,A3,B4,C5,C6,C7,B8,B9,B10
Lot140,34,21,3,0,0,9,1,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot141,23,7,3,4,0,7,2,A,A2,B3,B4,A5,A6,C7,B8,B9,B10
Lot142,61,32,5,2,0,22,0,A,A2,B3,B4,A5,A6,A7,B8,B9,B10
Lot143,39,10,9,9,3,7,1,A,A2,B3,B4,A5,A6,C7,B8,A9,B10
Lot144,27,9,6,1,0,5,6,B,A2,D3,B4,C5,A6,C7,B8,A9,B10
Lot145,34,14,9,6,0,4,1,B,A2,E3,B4,A5,A6,C7,B8,A9,B10
Lot146,40,11,12,4,0,11,2,B,A2,E3,B4,A5,A6,A7,B8,A9,B10
Lot147,64,14,15,14,1,18,2,A,B2,B3,B4,C5,B6,B7,B8,A9,B10
Lot148,28,11,6,2,0,7,2,A,A2,B3,B4,A5,A6,C7,B8,A9,B10
Lot149,47,10,9,5,0,21,2,A,B2,B3,B4,A5,A6,A7,B8,A9,B10
Lot150,31,15,4,1,0,11,0,A,B2,B3,B4,A5,A6,A7,B8,B9,B10
Lot151,41,0,20,4,7,5,5,A,A2,A3,B4,C5,C6,C7,B8,B9,B10
Lot152,24,9,6,3,0,5,1,B,A2,D3,B4,C5,A6,C7,B8,A9,B10
Lot153,86,18,21,12,0,29,6,A,B2,B3,B4,C5,B6,B7,B8,A9,B10
Lot154,39,16,6,5,0,10,2,B,A2,B3,B4,A5,A6,C7,B8,A9,B10
Lot155,85,0,23,3,27,18,14,B,B2,A3,B4,C5,C6,C7,B8,A9,B10
Lot156,34,0,7,3,15,3,6,A,A2,A3,B4,C5,C6,C7,B8,A9,B10
Lot157,18,7,3,4,0,4,0,A,A2,D3,B4,C5,A6,A7,B8,A9,B10
Lot158,39,2,17,11,1,5,3,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot159,36,0,13,3,14,0,6,A,A2,A3,B4,C5,B6,B7,B8,B9,B10
Lot160,25,17,0,0,0,8,0,A,A2,B3,B4,A5,B6,A7,B8,B9,B10
Lot161,53,8,7,17,0,18,3,B,B2,B3,B4,C5,B6,A7,B8,A9,B10
Lot162,33,13,12,4,0,3,1,A,A2,E3,B4,A5,A6,C7,B8,A9,B10
Lot163,21,0,7,0,7,3,4,A,A2,A3,B4,C5,C6,C7,B8,A9,B10
Lot164,36,12,8,7,0,7,2,A,A2,E3,B4,A5,A6,C7,B8,A9,B10
Lot165,23,0,8,1,5,4,5,A,A2,A3,B4,C5,C6,C7,B8,A9,B10
Lot166,18,0,2,0,11,4,1,A,A2,A3,B4,C5,C6,C7,B8,A9,B10
Lot167,44,10,10,10,0,11,3,B,A2,E3,B4,A5,A6,A7,B8,A9,B10
Lot168,28,17,2,0,0,9,0,A,A2,B3,B4,A5,B6,A7,B8,B9,B10
Lot169,28,9,7,6,0,6,0,A,A2,D3,B4,C5,A6,C7,B8,A9,B10
Lot170,19,4,6,2,3,0,4,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot171,15,0,8,1,1,0,5,A,A2,A3,B4,C5,C6,C7,B8,B9,B10
Lot172,43,6,13,17,0,4,3,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot173,53,18,20,4,0,11,0,A,B2,B3,B4,C5,B6,B7,B8,B9,B10
Lot174,22,14,2,0,0,6,0,A,A2,B3,B4,A5,B6,A7,B8,B9,B10
Lot175,47,12,7,7,0,16,5,B,B2,B3,B4,C5,B6,A7,B8,A9,A10
Lot176,17,1,13,2,0,0,1,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot177,13,0,7,1,1,0,4,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot178,43,0,10,0,18,7,8,B,B2,A3,B4,C5,C6,C7,B8,A9,B10
Lot179,50,10,18,3,0,14,5,A,A2,C3,B4,C5,B6,A7,B8,A9,A10
Lot180,34,16,9,1,0,7,1,A,A2,B3,B4,A5,B6,A7,B8,A9,B10
Lot181,33,16,10,5,0,2,0,A,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot182,27,0,5,0,8,9,5,A,A2,A3,B4,C5,C6,C7,B8,A9,B10
Lot183,28,9,11,0,0,1,7,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot184,40,6,6,4,0,21,3,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot185,37,4,11,6,3,3,10,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot186,31,15,11,0,0,0,5,B,B2,B3,B4,C5,B6,C7,B8,A9,B10
Lot187,35,6,8,4,0,15,2,A,B2,B3,B4,C5,B6,C7,B8,B9,B10
Lot188,33,0,13,0,5,9,6,A,A2,A3,B4,C5,C6,C7,B8,A9,B10
Lot189,31,13,7,1,0,8,2,A,A2,B3,B4,A5,B6,A7,B8,B9,B10
Lot190,37,24,7,1,0,4,1,A,A2,B3,B4,A5,B6,A7,B8,A9,B10
Lot191,33,17,6,1,0,9,0,A,B2,B3,B4,C5,B6,B7,B8,B9,B10
Lot192,18,3,9,2,1,0,3,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot193,15,1,8,2,1,0,3,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot194,47,7,12,13,4,4,7,A,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot195,31,12,12,0,0,1,6,B,B2,B3,B4,C5,B6,C7,B8,A9,B10
Lot196,26,0,10,1,9,2,4,B,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot197,30,12,3,1,0,14,0,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot198,22,0,9,2,3,1,7,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot199,43,6,9,7,7,4,10,B,B2,A3,B4,C5,B6,C7,B8,A9,B10
Lot200,20,7,3,6,0,2,2,B,B2,D3,D4,C5,B6,C7,B8,A9,B10
Lot201,13,0,5,4,1,1,2,A,A2,E3,B4,A5,B6,A7,B8,A9,A10
Lot202,37,10,11,11,0,4,1,B,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot203,38,24,4,3,0,4,3,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot204,36,20,9,4,0,1,2,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot205,44,19,3,8,0,6,8,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot206,40,13,9,8,0,4,6,A,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot207,35,14,4,10,0,3,4,A,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot208,36,5,5,3,9,5,9,A,B2,A3,D4,C5,B6,C7,B8,A9,B10
Lot209,57,6,12,7,0,29,3,B,B2,B3,B4,C5,B6,A7,B8,A9,A10
Lot210,45,12,8,16,0,5,4,A,B2,A3,D4,C5,B6,A7,B8,B9,A10
Lot211,27,13,1,3,0,10,0,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot212,32,24,4,1,0,3,0,B,B2,A3,B4,C5,B6,B7,B8,A9,A10
Lot213,18,0,11,2,0,2,3,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot214,28,13,4,7,0,2,2,B,B2,D3,D4,C5,B6,A7,B8,B9,A10
Lot215,48,32,12,3,0,1,0,B,B2,A3,B4,C5,B6,B7,B8,A9,A10
Lot216,17,5,7,0,0,1,4,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot217,34,18,5,5,0,6,0,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot218,20,16,3,0,0,1,0,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot219,47,9,5,7,11,9,6,B,B2,D3,D4,C5,B6,A7,B8,A9,B10
Lot220,51,10,16,12,0,12,1,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot221,48,32,3,3,0,10,0,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot222,16,3,6,3,0,1,3,A,B2,A3,D4,C5,B6,A7,B8,B9,A10
Lot223,18,0,2,10,5,1,0,A,B2,A3,B4,C5,B6,B7,B8,B9,A10
Lot224,12,6,3,0,0,3,0,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot225,60,16,15,17,1,7,4,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot226,21,2,7,6,0,3,3,B,B2,D3,D4,C5,B6,A7,B8,B9,A10
Lot227,25,0,5,15,3,0,2,A,A2,A3,B4,C5,B6,B7,B8,B9,A10
Lot228,16,0,11,0,3,0,2,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot229,51,7,14,12,0,13,5,A,A2,C3,B4,C5,B6,A7,B8,A9,B10
Lot230,19,0,12,0,5,0,2,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot231,33,0,9,18,5,0,1,A,A2,A3,B4,C5,B6,B7,B8,B9,A10
Lot232,19,0,11,0,7,0,1,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot233,12,0,5,0,3,2,2,A,A2,A3,B4,C5,A6,A7,B8,A9,B10
Lot234,26,0,16,0,3,1,6,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot235,11,0,6,2,2,0,1,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot236,24,0,10,3,5,2,4,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot237,30,0,7,18,5,0,0,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot238,50,7,19,12,4,3,5,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot239,21,0,12,0,3,1,5,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot240,20,0,11,3,2,1,3,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
